stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,0,2,0,0,0,0,0,0,1,0,0,1,14,1,0,0
72hpf,0.85,0.28,0.56,0,0,0,0,0.28,0.56,0,1.41,0,0.28,2.25,0.85,0,0
21Day,0,0,1.48,0.37,0,0,0.37,0,0,0.37,1.11,0,0.37,0.74,0.74,0,0
3Month,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0.14,0.27,0,0.14,1.09,0.14,0,0,0,0.27,0.14,0,0,0.14,0.27,0.14
