stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.85,0,0,0,0,0.28,0.28,0.28,0.56,0,0.28,79.76,4.51,0,0.28,0,0,0.85,0.28,1.41,0,0
21Day,0.37,0.37,0.74,0.37,0,0.37,0.37,0,0,0,1.48,0,0.37,26.27,2.22,0,0.37,0.37,0,0.37,5.18,18.5,0,0
3Month,0,0,0,0.42,0.1,0,0,0,0.1,0,0,0.1,0,0.21,0,0.1,0,0,0.31,0,0,0,0.1,0.1
22Month,0,0,0,1.5,0,0,0.14,0,0,0,0.14,0,0,0,0,0,0,0,0.27,0,0.41,0,0,0
