stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,1.13,0,0,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0.37,0.37,0.37,0,0.37,0,0,0.37
3Month,0,0.1,0.21,1.46,0.1,0,2.81,0.21,0,0.73,0.1,0.73,0.73,0.1,0.21,0,0.21,0.1,0,0,1.04,0,0.31,0.21,0.42
22Month,0,0.14,0.27,0,0.27,0.14,2.19,0,0,0.41,0,0.14,0.41,0.14,0,0,0.14,0,0,0,0.27,0,0,0,0
