stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,0,0,4.51,0,0,0,0,0,0
21Day,0.37,0.37,0.37,0,0,0,0,0,0.37,0.37,0.37,0,0,4.81,0.37,0,0,0.37,0,0
3Month,0,0.42,0,0.1,0,0.31,0,0,0,0.1,0,0,0,0,0,0,0.1,0.1,0,0.1
22Month,0,0,0,0.14,0.14,2.19,0.41,0.14,0.14,0.27,0.14,0.27,0.14,0,0,0.14,0.14,0,0.14,0
