stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.56,0,0.28,0.28,0,0,0,0,0.28,0.56,0.28,0,1.97,3.38,0.28,0,0,3.1,0.28,0,0
21Day,0.37,0.37,0.74,0,0,0,0,0,0,0,0.37,0,0,0.37,0,1.11,0,2.59,0,0,0.37
3Month,0,0,0,0,0.1,0.21,0,0.1,0,0.1,0,0.1,0,0,0,0,0.31,0,0,0.1,0.1
22Month,0,0,0,0,0,0.82,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
