stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,1,0,0,3,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,45,0,0,0,0,0,2,0
72hpf,0,0,0,0,0.28,0.28,0,0,0,0,0,0,1.13,0,0.28,0,0,0,8.17,7.33,0,1.41,0,0,0.28,0,0
21Day,0.37,0,0,0.74,1.85,0.37,0,0,0,0,0,0,0,0,2.22,0,0.37,0,3.7,4.81,0.37,0.74,0.37,0.37,1.48,0,0
3Month,0,0.1,0,0.83,0.31,0,0.1,0,0.42,0.1,0.1,0.73,0.21,0,0.31,0.42,0,0.52,0,0,0,0,0.1,1.98,0,0,0.62
22Month,0,0,0.14,0.27,0,0,0,1.91,0.82,0,0,0,0,0,0.14,0,0,0.14,0.14,0,0,0,0,0.14,0,0,0
