stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.56,0,1.13,0,0.56,0,0,0,0.28,0,0,1.97,1.41,0,2.82,0,0.28,0,0,2.54,0.56,0,4.79,0,0,0,0.28,0,0,0
21Day,0.37,0,0,6.29,0.74,1.11,0,0,0,0,0,2.22,0,1.11,0,3.7,0,0,1.11,0,1.11,0.37,0,2.59,0.37,0,0.37,0,0,0,0
3Month,0,0,0.42,7.39,0,0,0.42,0.42,0,41.29,0.62,19.66,0.31,2.18,0.1,0.94,0.1,0,0.1,0.1,0.1,0,0.21,0,0.31,1.66,0.21,0,0.52,0.42,0.83
22Month,0,0.27,0.14,0.82,0,0,0.41,0.14,0.41,52.61,0.41,4.51,0.14,0.27,0.27,1.5,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
