stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0.85,0,0,0,0,0,0,0.28,2.82,0,1.41,0,0,0,123.45,3.1,0.28,0.28,3.95,0,0,0.85,0,0.28,0.28,0,0
21Day,0.37,0,1.85,1.85,0,0,0.37,0,0.37,0.37,0,0.74,0.37,7.4,0,0.37,0,32.19,2.22,0,0.37,4.44,1.11,0,1.85,0.74,0.74,0,0,0.74
3Month,0,0.21,1.04,0,0.1,0.31,0.83,0.31,0,0.21,0,0.31,0.42,2.29,0.62,0.1,0.1,0.52,0,0.31,0.1,0,0,3.85,0,0,0,0,0.52,0.94
22Month,0,0,0,0,0,0.14,2.32,0,0,0.27,0,0.27,0,0.82,0.14,0.14,0,0.27,0,0.41,0.14,0,0.14,0.96,0,0,0,0,0,0.27
