stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0.28,0,0,0,0,0,0,0.28,0.28,0.28,0.56,0,0,0,0,3.1,3.38,0,0.28,0.56,0,0,0.85,0,0,0
21Day,0,0,1.85,0.37,0,0,0,0,0.37,0,3.33,0.37,0,1.11,3.33,1.48,0,0,0.37,0,1.85,1.11,0,0,0.37,0,0,1.11,0,0,0.37
3Month,0,0,1.98,0,0.1,0,0.21,0.21,4.99,0.21,0.1,1.35,0,0.31,0.31,0.42,0.1,0,0.62,0.21,0.1,0,0,0.1,0,0.31,0.42,0,0.21,0.42,0.62
22Month,0.27,0.41,3.42,0,0,0,0.27,0.55,12.44,0.14,0,1.64,0,0.14,0.55,0.41,0,0.14,0.14,0,0,0,0.27,0.27,0,0.14,0.14,0,0.14,0,0.27
