stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0
3Month,0,13.94,0.1,1.04,0,0.1,0.42,0.73,0,2.6,0.31,0,0.52,0.42,0.42,0.83,0.1,0,0.21,0.1,0,0,0,0,0.31,0.73,0,0.21,0.1,0.52
22Month,0.14,42.22,0.14,0.96,0.27,0.27,0,2.19,0.82,9.84,0.41,0.27,0.96,0.41,0.96,1.23,0.14,0.27,0.27,0,0.14,0.14,0.55,0.14,0.27,0,0.14,0,0,0.41
