stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,3,0,0,0,0,0,2,2,0,3,228,0,0,0,0,0,0,0,0
72hpf,0.85,0.56,0.56,0,0,0,0,0.28,0.85,0.28,30.44,30.72,0,0.56,0,3.66,0.28,0,0.28,0
21Day,0,0.37,0.74,0,0,0.37,0.37,0,0.37,0,6.66,7.4,0.37,0,0.37,1.48,0,0.37,0,0.37
3Month,0,0.31,0,0,0.31,0,0.1,0.1,0,0,0,0.21,0.1,0,0,0,0,0,0,0
22Month,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0
