stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,1.13,0.28,1.97,0,0,0,0,0,0,0,0.28,0,0.28,3.1,0,1.69,0.28,0,0,14.37,4.51,0,0,0.56,0,0,0.28,0,0,0,0,0,0
21Day,1.48,7.77,0.37,8.51,0,2.96,0,0,0,0,0,1.48,0.37,1.48,1.11,1.85,1.85,0,0,0,6.66,2.59,0,0,0.74,0,0,1.11,0.74,0.37,0.74,0,0,1.11
3Month,0,1.04,0,0,0,0,0.1,0.21,0,0.62,0,0,0.73,0,0.31,0.42,0,0,0.31,0.31,0,0,0,0,0,0.1,0.62,0,0,0,0,0.21,0.1,0.1
22Month,0,0.41,0,0,0.27,0,0,1.23,0.68,2.6,0.14,0.14,1.37,0,0,0.14,0.27,0.14,0,0,0,0,0.14,0.14,0,0.14,0,0,0,0,0,0,0,0
