stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,1.41,0.28,2.25,0,0.28,0,0.28,0,0,0,0,0
21Day,0,1.11,0.74,0,0,0,0,0,1.48,0,0.37,1.11,0.74,1.85,0.74,0.37,0,1.11,0,0.37,0,0,4.07
3Month,0.1,0.73,0,0.1,0.1,0,0.1,0.62,0.21,0,0,0.21,0.62,1.46,0,0,0,0,0.1,0.42,0.21,0.1,1.04
22Month,0.41,0.68,0,0,0.41,0.27,2.19,1.5,0,0.27,0,0,7.11,1.09,0.14,0,0.14,0,0.14,0,0,0,0.68
