stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0,0,0.28,0,0,0.56,0,0.56,0,0,0,1.97,0.85,0,0.28,0,0,0,0,0,0
21Day,0.37,0,0,1.11,0,0,0,0,0,0,0,0,0,0.37,0,0.74,0,0,0,0.37,0.37,0,0.37,0,0,0.37,0,0,0.37
3Month,0,0.31,0.21,4.26,0,0.21,0.42,0,3.12,0.62,0,2.18,0.21,0.52,0.83,0.21,0,0.31,0.21,0.1,0,0.1,0.1,0.1,0.42,0,0.21,0.21,0.94
22Month,0,0.82,0.27,1.78,0.27,0.68,1.09,0.55,18.04,0.55,0.27,5.06,0,0.27,0.14,0.68,0.27,0,0,0.14,0,0.14,0,0,0.27,0,0,0,0.14
