stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0
21Day,0,0.37,1.11,0,0,0,0,0,0,0,0.37,0.37,0.74,0.37,0,0.37,0,0,0,0,0
3Month,0,1.14,0,0.1,0.1,0.31,0.21,0.94,0.52,0.1,0.42,0.21,0.21,0.1,0,0,0.1,0.1,5.2,0.1,4.16
22Month,0,0,0,0,0,0,0.27,0.96,0,0.14,0,0.14,0,0,0,0,0,0,0.41,0,0
