stage,Endothelial_cell,Erythrocyte,Erythroid_progenitor_cell,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0,0,0,0.28,0,0.28,0.56,0,0,0,0
21Day,0,0.37,0.37,0,0,0,0,0,0,0,0
3Month,0.1,0,0,0,0.1,0,0,0.1,1.56,0.1,0.83
