stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0
72hpf,0.85,0.28,0,3.1,0.28,1.69,0,0,0.28,0,0,0.28,0.85,3.95,0.28,1.41,0,63.7,6.48,0.56,5.07,0,0,0,0,0.85
21Day,0,0,0.37,0.74,0.37,0.37,0.37,0,0,0,0,0.37,0.37,0,0.74,3.33,0,21.83,1.48,0.37,2.22,1.11,0,0.37,0.37,0
3Month,0,0,0,0.73,0,0,0,0,0,0,0.1,0,0,0,0.31,0.1,0,0.21,0,0.21,0,0,0.31,0,0,0
22Month,0,0,0,0.27,0,0,0,0.41,0,1.09,0,0,0,0,0,0.14,0.14,0.27,0,1.09,0,0,1.91,0.27,0,0
