stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.85,0,0,0,0,0,0,0,0,0,0,1.97,0.28,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74
3Month,0,1.46,0.1,23.92,0.1,0.31,0.21,0.62,1.98,7.49,1.04,0.1,1.77,0.42,57.94,2.7,0.94,0.83,0,0.52,0.21,0.1,0.1,0.42,0,0.52,1.46,0,0.1,0.94,1.98
22Month,0,0.68,0.14,0.68,0,0,0,0,0.55,6.83,0.14,0.14,0.41,0,3.14,0.82,0.27,0.14,0.41,0.14,0,0,0,0,0.27,0,0,0.14,0,0,0.41
