stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,4,0,0,0,0,0,0,0,0,1,1,0,13,1,0,0,0
72hpf,0,0.28,0.85,0.56,0,0,0,0,0,0.28,0,0,0.85,3.66,1.69,0.56,0,0.56,0
21Day,0.37,0,0.37,0,1.11,0,0,0.37,0,0.37,0,0,1.85,2.22,0.37,1.11,0.74,0,0.37
3Month,0,0,0.31,0,0,0.1,0.31,0,0.1,0,0.1,0,0,0,0,0,0,0,0.21
22Month,0,0,0.27,0,0,0,0.96,0,0.27,0,0,0,0.14,0,0,0,0,0,0
