stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,0,0,0,0,0,0,0.85,0.28,0,0,0,0.56,0.56,0,0,0,0
21Day,0,1.48,0,0.37,0.74,0,0,0,0,0.74,0.74,0,0,0,0,0.37,0.74,0,0,0
3Month,0.1,1.35,0,0,0.1,0.1,0,0,0.1,0.42,0.42,0.1,0.21,0.1,0,0,0,0.31,0.21,4.58
22Month,0,0.14,0.14,0,0,0,0.55,0.27,0,0,0.27,0,0,0,0,0,0,0,0,0
