stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0
72hpf,0.85,0,1.69,0.28,0,0,0,0,0,0,0.85,0.28,0,1.41,0,1.13,2.82,1.69,0.85,0.28,0
21Day,1.11,0,3.33,0.37,0,0,0,0,0.37,0,0,0.74,0.74,0.37,0,0.37,0,0,0.37,0.37,0
3Month,0,0,0.42,0,0.1,0.1,0.62,0,0,0.21,0,0,0.1,0,0,0,0.1,0,0.1,0.62,0.21
22Month,0,0.14,0.14,0,0,0,0.96,0.14,0,0.27,0,0,0.55,0.14,0.14,0,0,0,0,3.96,0
