stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0.28,0.28,0,0,0,0,0
21Day,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0
3Month,0.21,0.1,0.73,0,0,0.1,0,1.25,0.42,0.73,0.21,0.31,0.1,0.31,0.1,0,0.1,0.31,0.1,0,0,0.21,3.43,0.1,9.57,0.21
22Month,0,0,0,0,0,0,0.14,1.09,0,0.14,0,0,0,0,0,0.55,0.14,0,0,0,0,0,10.93,0,0,0
