stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8,106,0,3,1,0,0,2,0,0,0,0,0,0,0,0,1,2,36,0,0,0,66,51,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,30.44,96.67,0,1.69,10.71,1.97,0,0.28,0,0,0,0,0,0.56,0,0,2.54,16.07,42.56,0,11.84,0,72.72,25.93,0,0.28,0,17.76,0,0,0,2.25,0,1.13,0,0,0
21Day,39.59,31.45,0.37,2.22,1.85,2.96,0,0.74,0.37,0,0,1.11,0.37,2.96,0.37,0,2.22,14.06,21.83,0,47.36,0,22.2,5.92,0,7.4,0,7.77,3.33,0,0.74,0.37,0.37,0,0,0,1.48
3Month,4.16,106.51,0.21,7.07,0,0,0.42,0.21,0.73,4.68,0.42,7.39,48.99,0.1,4.47,0.73,2.6,23.4,13,2.7,31.1,0.62,2.39,0.62,0.52,19.87,0,0.94,0.83,0.1,12.38,0,0,0.62,10.71,1.87,2.39
22Month,2.6,128.45,0.96,3.01,0,0,0.27,0,0.27,2.6,0.41,12.85,3.01,0.41,1.23,0.14,0.55,16.53,8.34,0.96,23.23,0,1.23,0.27,0.96,26.1,0.27,0.41,0,0,15.99,0.14,0,0,1.23,0,0.41
