stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,4,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
72hpf,0,0,2.82,0,0,0,0,0,0,0,11.27,0,0,5.07,0.85,0,0,0,0,0.28,2.25,1.13,0
21Day,1.11,1.11,35.15,0.74,0.74,0,0,0.74,0,1.48,9.99,0.37,0.74,3.7,0,0.37,0.74,0.74,1.11,0,11.47,1.11,0
3Month,0,0,0.94,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0.83,0.1,0,0,0.21
22Month,0,0,0,0,0,0,0.41,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
