stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,1,2,0,0,0,0,0,1,0,0,3,1,24,0,1,0,0
72hpf,0.28,0,0,0,0,0,0,0.28,0,0.28,0.28,0.85,1.69,3.1,0.28,0,0.28,0
21Day,0,0,1.48,0.37,0.37,0,0.37,0,0,0.74,0,1.85,0,1.11,0,0.74,0,0.37
3Month,0,0,0.1,0,0,0.21,0,0.1,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0.14,0,0.14,0.41,0.14,0.14,0,0,0.27,0.41,0,0,0,0,0,0
