stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,16.63,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,1.13,0.56,0,0,0.28,0,0
21Day,3.33,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0.37,0,0,0
3Month,0,0,0.42,0.1,0.21,0.1,0,0.73,0,0,0.52,0.1,0,0.31,0.31,0.1,0,0,0,0.21,0.42,0,1.14,0.1
22Month,0,0.14,0.27,0,0.14,0.27,0.14,7.24,0.14,0.14,1.37,0,0,0.27,0.96,0,0.27,0,0,0,0.14,0,0,0.14
