stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,5,1,6,0,0,0,0,0,0,0,1,5,3,12,0,0,4,76,0,1,0,0,0,0,0,3,0
72hpf,0.56,1.13,1.97,0.85,0.28,0,0,0,0,0,3.66,3.95,0.28,2.54,0.56,0.28,7.33,13.25,0,3.1,0.28,0,1.41,0.28,0.56,0.28,0
21Day,0.37,0,3.33,0.37,0,0.37,0,0,0,0.37,0.37,0.37,0,1.48,0,0,1.48,0.74,0.74,0.74,0.37,0.37,0,0,0,0,0
3Month,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0.42,0,0,0,0,0.1
22Month,0,0,0,0,0,0,0.14,0.14,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14
