stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.97,0,0.28,0,0,0,0,0,0,1.97,0,0,0,0,0,0,0,0,0.28,0.56,0,0,0,0,0,0,0.56,0,0,0
21Day,2.22,0.37,2.22,0.37,0,0,0,0,0,2.59,0,0,0,3.7,1.11,0,0,0.37,0.74,0.37,0,0,0,0,0.74,0.37,0,0,0,2.22
3Month,2.6,0.1,1.66,0,4.68,0.52,0,3.02,0.83,0,0.94,0.21,0.42,14.35,0.21,0.21,0,0,0,0.1,0,0,0,0.1,0,10.51,0,0.52,1.35,0.52
22Month,2.32,2.05,2.19,0.14,4.37,0.27,0.41,11.07,0.14,0.41,0.96,0,0,1.91,0.68,0,0.55,0.14,0.27,0,0.27,0.14,0.55,0,0.14,9.43,0,0.55,0,1.5
