stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,2.82,0.85,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,1.11,0.37,0,0,0,0,0.37,0,0,2.96,0,3.33,0,1.11,0,9.25,2.22,0,0.37,0.37,0,0.37,0.37,0,0,0,0
3Month,0,0.31,1.77,0,0.31,0.31,1.46,0.1,0,0.62,0.1,0.21,0.1,5.1,3.12,0,0.21,0.52,0,0.1,0,0,1.14,0,0,0.1,0.21,9.36,0.31
22Month,0,0.14,0.27,0,0,0.14,0.14,0,0,0,0,0,0,2.19,0.27,0,0,0,0,0,0,0,0.14,0,0,0,0,0.14,0
