stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0.28,0.56,0,0,6.48,0.56,0.28,0.56,0,0.56,0
21Day,0.74,0.37,0,0,0,0,0.37,0,0.74,3.7,0.37,0,0,0.37,0.37,0.37
3Month,0.21,0,0.1,0,1.14,0,0,0,0.1,0.1,0,0,0,0.1,0,0.1
22Month,0,0,0.14,0.14,1.5,0,0,0.14,0,0,0,0,0,0,0,0
