stage,Cardiomyocyte,Endothelial.cell,Enterocyte,Epithelial.cell,Epithelial.cell..Brain.,Erythrocyte,Erythrocyte..Liver.,Erythroid.progenitor.cell,Fibroblast,Goblet.cell,Granulocyte,Granulosa.cell,Hepatocyte,Immune.cell,Immune.progenitor.cell,Intestinal.bulb.cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal.cell,Mesenchymal.cell..caudal.fin.,Mt.rich.cell,Muscle.cell,Nephron.cell,Neural.cell,Neural.progenitor.cell,Neurosecretory.cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic.cell,Pancreatic.macrophage,Primordial.germ.cell,Radial.glia,Retinal.cell,Retinal.cone.cell,Retinal.pigment.epithelial.cell,Smooth.muscle.cell,Spermatocyte,T.cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.563696112006446,0,0,0.563696112006446,0,0.281848056003223,0,0,0,0,1.12739222401289,0,0,0,0.563696112006446,0,0.84554416800967,1.40924028001612,109.075197673247,0.563696112006446,0,0,0,0,4.22772084004835,0.84554416800967,0,0,0,1.12739222401289,0,0,0,0,0,0,0,0,0,0
21Day,1.47994744105713,0.369986860264282,0.739973720528564,28.1190013800855,0,6.65976348475708,0,1.47994744105713,0,0,5.17981604369995,0,2.58990802184998,1.84993430132141,23.6791590569141,0,1.84993430132141,9.24967150660706,226.801945342005,6.65976348475708,0,0,2.95989488211426,0,15.1694612708356,3.32988174237854,0.739973720528564,0.739973720528564,0,2.58990802184998,6.2897766244928,0,0.369986860264282,1.10996058079285,0,1.10996058079285,0,0,0,97.6765311097705
3Month,0.728119046512708,6.65708842525905,2.91247618605083,169.027635797593,0.312051019934018,0,5.720935365457,0.520085033223363,0.520085033223363,14.5623809302542,117.955285535059,0.104017006644673,57.7294386877933,472.341227173458,11.753921750848,26.4203196877469,9.04947957808652,13.9382788903861,784.600281120766,25.4841666279448,11.8579387574927,0.208034013289345,10.0896496445332,6.65708842525905,4.88879931229961,0.104017006644673,14.1463129036755,1.35222108638074,0,1.87230611960411,11.441870730914,2.18435713953813,19.1391292226198,0.416068026578691,0.416068026578691,0,0.312051019934018,7.69725849170578,12.4820407973607,798.434543004507
22Month,0.683247159940666,5.73927614350159,3.14293693572706,179.420704200419,0,0,3.41623579970333,0.683247159940666,0.136649431988133,8.60891421525239,414.457727220008,14.0748914947777,69.9645091779241,180.7871985203,14.4848397907421,9.01886251121678,1.6397931838576,3.68953466367959,782.727946428026,13.6649431988133,0.683247159940666,4.23613239163213,5.73927614350159,0.409948295964399,10.1120579671218,0.273298863976266,11.341902855015,2.18639091181013,1.6397931838576,0.819896591928799,3.41623579970333,0.136649431988133,7.65236819133545,1.6397931838576,3.55288523169146,0,0.136649431988133,0.956546023916932,0.136649431988133,268.789432720658
