stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,12,0,0,0,0,0,0,0
72hpf,0,0,0,0.85,0.28,0,0,0,0,0,0,0.56,0.28,0,1.13,0.56,23.68,3.95,0.28,0.28,0,0,1.41,1.13,0
21Day,0.37,0,0,0.37,0.74,0.37,0,0,0,0.37,0,1.11,0.37,0,1.11,0.37,3.7,0.74,0.37,0,0,0,0,0.74,0
3Month,0,0,0.1,0.52,0,0,0.1,0.1,0,0,0.42,0.52,0.31,0,0.31,0.21,0.1,0,0.1,0,1.46,0.1,0,0,1.87
22Month,0,0,0,0.41,0.14,0,0,0.14,0.27,0.14,0,0,0.14,0.14,0.14,0,0.27,0,0.41,0,0.27,0,0.55,0,0
