stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0.28,0,5.92,0.28,0,0.28,0,0,0,0.56,0,0,0.56,0,0,0,0,0,0,0,0
21Day,0.37,0,3.33,3.7,1.11,0,2.96,0,0,0.37,0,0,4.81,1.11,0,6.66,0.37,0,0,0.37,0,0.74,0.37,5.55,0,0.37,0,0,0.37,0,0,0
3Month,0.1,0.21,6.35,31.62,0,0.31,21.84,0.62,0,8.95,1.77,0.42,40.46,18.31,1.87,8.22,1.77,0.21,0,0.62,1.77,0.31,0.1,5.93,0.31,0.83,1.25,0,0,0.62,0.73,1.87
22Month,0,0.55,4.78,12.44,0,0,12.85,1.09,0.14,12.16,1.09,0,32.66,3.55,0.27,2.73,0.68,0,0.27,0.41,0.27,0,0,3.14,0.27,0.14,0.27,0.14,0,0.14,0,0.27
