stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,15,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,6.48,0,0,0,0,0,0,0,0,13.53,0,0,0,0.85,1.41,0,0,0,0,0
21Day,0.37,0,0,20.35,0,0,0,0,0,0,0,1.11,10.36,0.37,1.11,0.37,0.37,0.37,0.37,0.37,0,0,0.74
3Month,0,0,0.1,6.87,0.1,0.21,0,0.83,0.31,0,0.83,0.1,2.5,0.94,0.21,0.1,0.1,0,0,0.1,0.31,0.21,0.94
22Month,0,0.14,0,0.96,0,0.55,0.14,0.82,0,0.14,0.55,0,0.41,0.14,0.27,0.27,0,0,0,0,0,0,0.14
