stage,Hepatocyte,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Radial_glia,T_cell
24hpf,0,0,0,1,0,0
72hpf,0,0,0.28,0.85,1.41,0
21Day,0,0,0.37,0,3.33,0
22Month,0.55,0.14,0,0,0,0.14
