stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
21Day,0,0,0,0.37,0,0,1.11,0,0.37,1.85,0,0,0,0.37,0,0,0
3Month,0.1,0.31,0.1,1.98,0,1.25,0,0.21,0,2.18,0.42,0.1,0.1,0,0.1,0,2.6
22Month,0,0,0,0.14,0.27,0.27,0,0.14,0,0.14,0,0,0,0,0,0.14,0.82
