stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,2.82,0,0.28,0,0,0.28,0.28,0.28,0,0,0,0,0
21Day,0,0.74,0,0,0,0,0,0,0,6.66,0.37,0.37,0,0,0.74,0.37,0,0,0.37,0.37,0,0
3Month,0.1,3.74,0.1,0,1.56,0.1,0,0.1,1.66,0,0.21,0.1,0.1,0.94,0.62,0,0,0.1,11.86,0,4.68,0.21
22Month,0.14,0.68,0,0.14,1.09,0.14,0.14,0.27,0.14,0.14,0.27,0.55,0.14,0,0.14,0,0,0,3.14,0,0,0.14
