stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,1,0,0,0,0,0,0,0,0,3,1,1,1,2,0,0,0,0,1,35,0,0,1,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,0.28,3.38,0.56,0,0,0,0,0,0,0,2.54,0,1.69,0,1.41,0,0,0,0,1.69,2.82,0,0,2.25,0,0,0.56,0,0.28,6.2,0,0
21Day,1.48,0,1.85,5.18,0.74,3.7,0,0.37,0,0,5.55,0,0.74,1.85,0.74,4.07,0.37,6.29,0,0,0.74,0,4.81,5.18,0,0.37,2.96,2.96,0.74,2.59,0.37,1.85,85.1,0,0
3Month,0.1,0.1,1.14,2.39,0,0,0.1,0,0.31,0.21,4.37,0.52,0.1,0.62,0.1,0.42,0.52,1.66,0.42,0,1.14,0.52,0.1,0,0.21,0,0.21,0.31,6.35,0,0,0,3.95,9.78,0.21
22Month,0,0.14,0.14,0.14,0,0,0.14,0,0.14,0.41,3.55,0,0.14,0.55,0.14,0,0.14,5.6,0,0.14,0.14,0,0,0,0,0,0,0.14,4.24,0,0,0,0.82,0,0
