stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
72hpf,0.56,0.56,0.28,0,0.56,0.28,8.46,1.69,0,0.28,0.85,0,0,0.28,0
21Day,0,0.74,0.37,0,0.74,0,2.96,0.74,0,0,0.37,0,0,0,0
3Month,0,0.1,0,0.21,0,0,0,0,0.1,0,0,0.1,0.31,0,3.12
22Month,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0
