stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0
21Day,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0
3Month,0,0.1,2.08,0,0.1,0.1,0.21,1.04,0.21,0.94,0.1,0.1,0.1,0.1,0,0.1,0.31,0.1,0.1
22Month,0.14,0,0.14,0.14,0,0,1.64,0,0.14,0,0.55,0.14,0.14,0,0,0.14,0,0,0.14
