stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Pancreatic_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0.28,0,0,0,0,0,0.28,0,0,0
3Month,0.42,0.1,0.21,0.31,0,0.1,0.94,0.1,0.1,0.1
22Month,0.14,0,0.41,0.27,0.14,0,0.41,0,0,0
