stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0.74,0,0,0,0.74,0,0,0,0,0
3Month,0,0,0.1,0.73,0,0.1,1.56,0.73,0.94,0,0,0.1,0.42,0,1.25,0.1,0,0.1,3.12,0,0.21,0.1,0,0,0.21,0.21,0,0.1,1.04
22Month,0.14,0.27,0.14,1.5,0.14,0.27,0.68,0.14,30.88,0.27,0.41,0.27,0.27,0.14,0.27,0,1.37,0.27,0.55,0,0.41,0,0.27,0,0.14,0.27,0.27,0,0.27
