stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.28,0,0,39.74,1.41,0,0,0.56,0,0,0.28,0,0,0,0
21Day,0.74,0,0.37,0.74,1.11,0,0.37,0,0,0,0,0,0,0.37,0,0,0.37,0.37,0,0,0,0,21.46,1.85,0.37,0,0,0.74,0,0,0,0,0,0.37
3Month,0,0.21,0.31,0.94,0,0.1,0,0,0.42,0,0.94,0.52,0.1,0.42,0.21,0.42,0.62,0.52,0.1,0,0.21,0.1,0.52,0,0.73,0,0,0.1,0.62,0,0,0.21,0.42,0.42
22Month,0,1.23,0.14,1.64,0,0.27,0,0.41,1.09,0.68,9.57,0.68,0.14,1.64,0,0.27,1.37,2.73,0,0.82,0.41,0.27,0.41,0,0.82,0.41,0,0,0.27,0.14,0.27,0,0,0.27
