stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,0.56,0.56,0,0,0,0,0,0,0,0,0,3.38,0.28,1.69,0,0,0,0,2.82,5.07,0,0,1.69,0,0,2.25,0,0,0.56,0,0,0
21Day,1.11,0.37,0,2.96,0.37,0,0,0,0,0.37,0,0.37,0,0,1.11,1.48,3.33,0,0,1.11,0,3.33,3.33,0,0,1.48,0.37,0,0,0.37,0.74,0.74,0.37,0,0
3Month,0.1,1.14,0.1,8.84,0.21,0.1,0.73,1.14,0,7.28,1.04,0.1,0.83,0.42,1.46,0.73,1.77,0.62,0,0.83,0.1,0.21,0.1,0.21,0.1,0.21,0.21,0.52,0,0,0,0,0.31,8.22,0.42
22Month,0,1.09,0.14,1.64,0.27,0.14,0.68,2.32,2.6,45.91,0.96,0.14,0.82,0,0.68,2.19,0.96,0.14,0.96,0.27,0,0.27,0,0.14,0.27,0,0.14,0.68,0.27,0,0,0,0,0,0.14
