stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.28,0,0,0,0,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0.37,0,0,0,0.74,0,0,0,0
3Month,0.1,0,0,0.62,0.1,1.04,0.1,0.21,0.1,0.21,0.31,0.1,0,0.1,0.1,0,0,0.1,0.31,11.23,0,0.31,1.66,0.52
22Month,0,0.14,0.14,0.27,0.14,1.91,0.27,0,0,0,0,0,0.27,0,0,0,0.55,0,0,8.34,0,0,0,0
