stage,Cardiomyocyte,Epithelial_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,T_cell
21Day,0.37,0,0,0,1.48,0.37
3Month,0,0.42,0.1,0.1,0.73,0.42
