stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.56,0,0,1.13,1.41,0,0.28,0,0,0.28,0,0,0
21Day,0.37,0,0,1.85,0,0,0.37,0,0,0,0.37,0,0,0,0,0,1.48,0.37,0,0,0,0,0,0.74,0,1.11,0,0,0,0,0,0
3Month,0,0.1,0.31,2.81,0,0.21,0,1.14,0.83,0,2.7,0.73,0,9.99,0.73,1.14,1.46,0.42,0.21,0,0.1,0.1,0,0,0.1,0,0.73,1.14,0.1,0.42,105.27,1.35
22Month,0,0.14,0.14,0.41,0,0,0,0.68,0.27,0.14,2.19,0,0.14,6.7,0.14,0,0.68,0.27,0,0,0.27,0,0,0,0,0,0,0.41,0.14,0,0.41,0.41
