stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0
72hpf,0.56,0,0,4.23,0,0,0,0,0,0,0,0,0,1.13,0,1.41,0,0,0,1.13,0.28,0,0,0,39.18,0,0,0,0,0,0,0
21Day,0.37,0,0.37,1.85,0,0.37,0,0,0,0,0.37,0,0.37,0.37,0.37,2.22,0,0,0,0.74,0,0,0,0,29.6,0.37,0.37,0.74,0.37,0,0,0
3Month,0.42,0.1,1.14,0.62,0.1,0,0.31,0.1,0.52,0.1,0,0.52,0.21,1.04,0.21,1.66,0.21,0.21,0.31,0.21,0.21,0.1,0.1,0,2.29,0.21,10.61,0,0,0.21,5.93,0.1
22Month,0,0,0.55,0.14,0,0,0,0.14,1.91,0,0.14,0.14,0.14,0,0.41,0.68,0,0.14,0,0.14,0,0.27,0.27,0.41,0.55,0,5.06,0.14,0,0,0,0
