stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,3,0,0,0,7,0,22,0,1,0,0,4,0,0,0,266,3,0,1,2,30,0,1,0,0,0,0,0,0,0
72hpf,0.85,0,0.85,0.85,0.28,0,0.28,0,10.15,0,0,0,0,0.28,0,0,1.69,0.28,1.41,0,0,6.48,2.82,0.28,0.28,0.28,0,1.13,0,0,0,0
21Day,0.37,0,4.07,0.37,3.7,0,0,0,65.86,0,0,0.37,0,6.66,0,0.37,1.11,1.11,2.22,0,0,1.85,0.37,0,1.48,1.48,0,0.74,0.37,0,0,0.37
3Month,0,0,1.35,0,0,0.1,0.21,0.42,29.33,0,0,1.25,0.31,0.31,0.31,0.1,0.1,0.52,0.31,0,0.21,0.1,0,0.21,0,0.52,1.35,0,0,0.21,0.42,0.1
22Month,0,0.41,0.68,0,0,0.14,0.14,0,47.01,0.14,0,3.01,0.14,1.78,0.41,0,0.14,1.09,0.27,0.27,0,0.14,0,0,0,0,0,0.14,0,0.14,0,0
