stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Mesenchymal_cell,Oligodendrocyte,Primordial_germ_cell
21Day,0,0.37,0,0,0,0,0
3Month,0,0,0,0,0,0,0.21
22Month,0.14,0,0.14,17.63,0.14,0.14,0
