stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0.28,0,0.28,0,0,0.56,0,0,0,0,0,0
21Day,0.37,0.37,0,0,0,0,1.11,0.37,0.37,0,0,0,0.37,0,0,0,0,0
3Month,0,0.1,0.1,3.22,0.1,0,0.1,0.21,0,0,0.1,0,0,0.1,0.1,0.1,0.73,0.21
22Month,0,0,0,0.68,0,0.14,0,0,0,0.14,0,0,0,0,0,0,0,0
