stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,0,0,1,67,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,2.54,1.41,0,3.66,2.54,1.41,0,0,0,0,0,0,0,0,0,0,1.41,8.74,1.13,7.89,0.28,0.28,0,79.2,43.69,0.56,0.85,6.2,0,0,6.2,0.28,0.56,0,0,0,0
21Day,4.44,0.37,1.48,9.99,0.37,2.59,0,0.74,0,0,1.11,0,0.37,0.74,3.33,0.37,1.85,4.81,4.81,18.87,0,2.22,0,37.74,24.05,0.37,0.74,7.77,0.74,0,3.33,1.11,2.22,0.74,0,0,1.11
3Month,0,0.21,0.1,4.99,0,0,0,0.21,0,0.73,1.04,0,2.7,0.73,0.1,1.04,0.31,1.77,2.91,1.46,0.1,0.1,0.42,0.21,0.1,0.21,0.1,0.1,0.1,0.83,0,0,0,0,0.31,0.31,0.73
22Month,0,0.27,0.14,2.32,0.14,0,0.14,0,0.14,0,1.09,1.23,16.53,0.27,1.09,1.23,0,0.41,2.87,1.91,0.27,0.14,0,0.14,0.14,0.27,0.27,0,0.14,0.96,0.14,0.14,0,0,0.14,0,0.55
