stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.85,0.85,0,0,0,0,0,0
21Day,0,0,0,0.37,0.37,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0,0.74,0.37,0,0,0,0.37,0,0
3Month,0,0.1,0.1,0.31,0,0.1,0.1,0.1,0,1.25,0.21,0,0.52,0.21,0.21,0.1,0.42,0.1,0,0.1,0.21,0,0.1,0.21,24.24,0.1,2.39,0.21
22Month,0,0.14,0,0.14,0,0.14,0,0.41,0.14,1.5,0,0,0.27,0,0,0.27,0,0.14,0.14,0,0,0,0,0,5.6,0,0,0
