stage,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,T_cell
21Day,0,0.37,0,0,0.37,0,0,0.37,0,0,0,0.74,0.37,0,0
3Month,0.52,0,0.21,1.35,0,0.21,0.1,0.21,0.1,0,0.21,0,0,0,0.1
22Month,0,0,0,0.55,0,0,0,0,0.14,0.14,0,0,0,0.27,0
