stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.56,0,0,0,0,0,0,0,0.56,0.28,0,0.56,0,0.85,0,0,23.11,5.07,0,0,0.56,0.28,0,0.28,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,3.7,0.37,0,0,0.37,0.74,1.11,0,0,0.37,0,8.51,1.85,0,0,0.37,0.74,0,0.37,0,0,0
3Month,0,0,0.31,1.77,0,0.31,0.31,0.42,0,123.88,0.83,1.66,0.42,0.52,0.1,1.25,0.1,0.21,0.42,0.31,0.21,0,0.31,0.73,0,1.46,3.22,0,0.31,1.35,0.42
22Month,0.14,0.14,0.14,0.68,0,0.14,0.14,1.09,0.27,136.38,0.14,0.82,0,0.14,0.27,0.27,0,3.14,0,0,0,0,0,0.14,0,0.14,0.55,0,0,0,0
