stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,T_cell
21Day,0,0,0.74,0,0,0,0,0.37,0,0,0.37,0
3Month,0,0,0,0,0,0,0.1,0,0,0.1,0,0.21
22Month,0.14,0.14,0,0.14,0.14,0.96,0.14,0,0.14,0,0.14,0
