stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,1.41,0,0,0,0,0,1.41,0,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0.74,0,0.74,0,0,0,4.07,0,0.37,0,0,2.96,0.37,0
3Month,0,0,0.42,0,0.1,0,0.1,0.94,0,0.21,0.62,0.21,0.42,0,0,0.21,0.21,0,0.1,3.22,0,0,0,0.42
22Month,0.14,0.27,1.37,0,0,0.14,0.41,3.14,0.14,0.27,0.27,0.41,1.37,0.14,0.41,0,0.41,0.14,0,4.1,0.14,0,0,0
