stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,4,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,41,7,0,0,0,0,41,1,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,1.97,0.28,1.41,0.28,2.25,0,0,0,0,9.3,0,0,0,0,0.28,0,1.13,2.25,0.28,3.38,0,0,0,9.58,13.53,0,0,0,5.64,0.28,0,1.41,0,0,0.56,0,0,0
21Day,3.7,0.74,5.18,0.74,9.62,0,2.59,0,0,44.4,0,0,0.74,0,12.95,0.37,0.74,1.11,3.33,13.69,0,1.85,0,4.07,9.25,0,0.74,0,6.66,1.85,0,1.85,0.37,1.11,0.37,0,0,1.85
3Month,0.21,0.83,6.66,0,0,0.94,0,0.21,1.04,214.28,0.1,0,7.7,2.18,0.52,1.87,0.62,2.39,4.37,3.74,1.56,0.73,0.62,0.42,0.31,0.21,0.21,0,0.21,1.35,8.43,0.1,0,0,0,1.56,2.91,3.22
22Month,0.27,0.68,1.91,0,0,1.64,0,0,0.27,262.09,0.27,0,8.06,0.82,0.82,0.82,0.14,0.14,1.91,3.69,0.14,0.14,0.14,0.14,0,0.55,0.82,0.27,0,0.55,1.64,0.96,0.14,0,0,0,0,1.23
