stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0
72hpf,5.36,0,0,0.28,16.35,0.28,0,0,0,0,0.28,0,0,0,0,2.25,0,4.79,0,0,0,0,5.92,2.82,0,0.28,1.41,0,0,0,0,0,0
21Day,4.44,0,0.37,2.22,7.03,0,0,0.37,0.37,0,0,0,0.37,0,0,1.48,0.37,1.85,0,0.37,1.11,0,2.96,1.85,0,0.37,1.11,0.74,0,0.37,0,0,0
3Month,0.21,0.1,0,2.6,6.03,0,0.1,0.1,0,0.1,14.46,0.31,0,0.52,0.52,1.14,0.31,3.54,0.21,0,0.42,0.42,0.31,0.1,1.04,0.83,0,0.52,12.27,0.21,0,1.46,0.31
22Month,0,0.82,0.14,3.42,3.14,0,0.14,0.14,0.27,0.14,9.98,0,0.27,0.55,0,0.55,0.14,4.24,0,0.14,0,0,0.41,0,1.64,0.14,0,0,3.83,0.41,0.14,0,0.14
