stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
21Day,0,0,0,0,4.07,0,0,0.37,0.74,0,0.37,0,1.11
3Month,0.1,0.1,0.31,0.31,0.1,0.1,0.1,1.87,0.42,2.08,0,0.1,0.73
