stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,7,17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.69,0.85,0,0.85,3.95,0,0,0,0,0,0,0.28,0,0.56,4.23,0.56,4.51,0,0.28,0.28,0,296.79,22.55,0.28,0.28,6.48,0.28,0,3.1,0.28,0,1.13,0,0,0
21Day,0.74,0,0.37,4.07,1.48,0.74,0,0,0,1.48,0,1.48,0.37,0.74,2.96,0.37,1.48,0,0,0.74,0,130.24,4.81,0.74,0.37,1.11,5.18,0.74,0.74,1.11,1.11,1.11,0,0,0.37
3Month,0,0.21,0.1,2.6,0,0,0.21,0.73,0,3.33,0.42,0,0.21,0.31,0.62,0.73,1.04,0.31,0,0.21,0.1,6.55,0.21,2.29,0.1,0.1,0.1,22.05,0,0,0,0.21,0.62,3.74,0.52
22Month,0,0.27,0,1.09,0,0.14,0.14,0.68,0,12.57,0.41,0.14,0.82,0,0.14,0,1.09,0,0.41,0.14,0,2.87,0,0.27,0,0,0,6.56,0.27,0,0,0,0,0.14,0
