stage,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.56,0,0.56,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0.37,0.74,0,0,0,0,0,0.37,0.37,0,0
3Month,0.21,0.62,0.1,0,0.42,0.1,0.1,0.21,0.1,0.1,0.1,0.1,0.1,0.1,9.26,0,0,0.21,0.52
22Month,0,0.14,0,0.14,1.23,0,0.14,0,0,0,0,0,0,0,0.82,0,0,0,0
