stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,3,1,0,2,0,0,9,0,7,0,37,1,0,7,0,0,3,432,1,0,0,0,6,23,0,0,1,0,0,0,0,0,1,0,0
72hpf,0,0.28,0,0.85,0.28,0,0.28,0,6.48,0,0,0,0,3.38,0,0,0.85,46.79,0.56,0,0,0,1.69,1.41,0,0.28,0.28,0.28,0,0,0.28,0,0,0,0
21Day,0.37,0,0,1.11,0,0,0,0,5.55,0,0,0,2.59,4.81,0.37,0,0.74,12.58,0.74,0,0,1.85,0,0.37,3.33,0.37,0,0.74,0,0,0,0,0,0,3.7
3Month,0,0.1,0.1,3.54,0,0.21,0,0,7.07,0,0,1.87,28.19,0.1,0.73,0.31,0.21,14.77,0.94,0.1,0,0.73,0,0,2.91,0,0.21,0.42,0.1,0.62,0,0,0,0,3.33
22Month,0,0.55,0.14,3.01,0,0.14,0,0.27,10.8,0.14,0,5.19,14.07,0.27,0.55,0,0.14,12.44,0.82,0,0.27,0.14,0.14,0,1.91,0,0.14,0.14,0,0.68,0,0.14,0,0.14,1.91
