stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,3.38,0,0,0,0,0,0,0,0
21Day,0,0,1.48,0,0.37,0,0,0,0.37,0,1.85,0,0,2.96,0,0,0,0.74,0,1.11,0,0,0,0,0,0,0,0
3Month,0.1,0.31,72.4,0.1,0,0.31,0.62,1.66,1.14,1.14,0.1,1.35,1.14,4.06,1.98,0.31,0.1,2.29,0.1,2.81,0.1,0.1,0.62,0.52,0,0.1,1.14,0.62
22Month,0,0.14,2.32,0,0,0,0,1.23,1.37,0,0,0.14,0.14,0.27,0.27,0.41,0,1.91,0,1.23,0,0.14,0,0,0.14,0,0,0.27
